,Bairro,Distrito
937,Jardim Itamaraty,Campo Limpo
938,Jardim Scaff,Jabaquara
939,Vila Santa Inês,Vila Jacuí
940,Jardim Benfica,Itaim Paulista
941,Rio Bonito,Cidade Dutra
942,Jardim Cleide,Itaquera
943,Aricanduva,Aricanduva
944,Anhanguera,Anhanguera
945,Jardim Monte Kemel,Vila Sônia
946,Vila Tramontano,Morumbi
947,Parque Manacá,Grajaú
948,Jardim Ana Rosa,Sapopemba
949,Vila Piracicaba,Jardim Helena
950,Vila Albano,Vila Sônia
951,Parque Vitória,Tucuruvi
952,Vila Irmãos Arnoni,Tremembé
953,Jardim Sandra,Capão Redondo
954,Cidade Luz,Grajaú
955,Jardim Pedra Branca,José Bonifácio
956,Vila Zat,Pirituba
957,Jaguaré,Jaguaré
958,Parque Tamari,Parelheiros
959,Vila Itaim,Itaim Paulista
961,Jardim Francisco Mendes,Tremembé
962,Vila Palmeira,Freguesia do Ó
963,Saúde,Saúde
964,Vila Boaçava,Pirituba
965,Vila Fanton,Perus
966,Vila Londrina,Cangaíba
967,Jardim Mônica,Capão Redondo
968,Vila Ribeiro dos Santos,Ponte Rasa
969,Parque Doroteia,Pedreira
970,Terceira Divisão de Interlagos,Cidade Dutra
971,Jardim Maria Antônia,Mandaqui
972,Parque São Rafael,São Rafael
973,Jardim Britânia,Anhanguera
974,Vila Mesquita,Cangaíba
975,Jardim Aladim,Parelheiros
976,Jardim da Laranjeira,Iguatemi
977,Jardim Mália I,Cidade Dutra
978,Jardim São Gilberto,Butantã
979,Vila Corberi,Itaquera
980,Jardim Nossa Senhora do Carmo,Parque do Carmo
981,Usina Piratininga,Campo Grande
982,Jardim Eunice,Vila Sônia
983,Canindé,Pari
984,Vila Invernada,Rio Pequeno
986,Jardim Vaz de Lima,Jardim São Luís
987,Jardim Olinda,Campo Limpo
988,Jardim Parque Morumbi,Vila Andrade
989,Vila Zulmira,São Domingos
990,Sitio Conceição,Cidade Tiradentes
991,Vila Matias,Santana
993,Vila Espanhola,Limão
994,Sacomã,Sacomã
995,Jardim do Castelo,Cangaíba
996,Vila Vera,Sacomã
999,Sítio Represa,Parelheiros
1000,Jardim Laone,Ponte Rasa
1001,Conjunto Haddad,Vila Leopoldina
1002,Jardim Rêgis,Cidade Dutra
1003,Jardim Santa Josefina,Jardim São Luís
1004,Cidade Satélite Santa Bárbara,São Mateus
1005,Parque Recreio,Ponte Rasa
1006,Jardim Myrna II,Grajaú
1007,Jardim Cinco de Julho,São Mateus
1008,Vila Granada,Penha
1009,Jardim Quarto Centenário,Cidade Dutra
1010,Jardim Marco Paulo,Jardim São Luís
1011,Gráficos,Cidade Tiradentes
1012,Jardim Ideal,Jardim Helena
1013,Conjunto da Paz,Lajeado
1014,Vila Salvador Romeu,Vila Guilherme
1015,Vila Acre,Freguesia do Ó
1016,Jardim Maria Lúcia,Rio Pequeno
1017,Jardim Internacional,Santo Amaro
1018,Jardim Concórdia,Penha
1019,Jardim Luanda,Campo Grande
1020,Lajeado,Lajeado
1021,Vila Funchal,Itaim Bibi
1022,Jardim Aricanduva,Aricanduva
1023,Jardim Paqueta,Pirituba
1024,Parque Maria Luiza,Vila Formosa
1025,Jardim São Rafael,Cidade Dutra
1026,Vila Carmosina,Itaquera
1028,Mandaqui,Mandaqui
1029,Terceira Divisão,Iguatemi
1030,Vila Seabra,Jardim Helena
1031,Barra Três Poderes,Cidade Tiradentes
1032,Ipiranga,Ipiranga
1033,Jardim Perus,Perus
1034,Vila José Casa Grande,Santana
1035,Jardim Dânfer,Cangaíba
1036,Conjunto Residencial Sítio Oratório,Sapopemba
1037,Jardim São Carlos,Cidade Ademar
1040,Passagem Funda,Cidade Tiradentes
1041,Vila Itapeva,Pirituba
1042,Recanto dos Sonhos,Cidade Dutra
1043,Jardim Aimoré,Itaim Paulista
1044,Parque Alto do Rio Bonito,Cidade Dutra
1045,Jardim Reimberg,Grajaú
1046,Vila Prel,Jardim São Luís
1047,Jardim Albano,Capão Redondo
1048,Jardim Redil,Itaquera
1049,Vila Bonilha,Pirituba
1050,Jardim Clélia,Capão Redondo
1053,Ponte Pequena,Bom Retiro
1054,Vila Pirajussara,Campo Limpo
1055,Nascer do Sol,Cidade Tiradentes
1056,Jardim Clarice,Capão Redondo
1057,Cidade Líder,Cidade Líder
1058,Jardim Soares,Guaianases
1059,Jardim Carolina,Vila Curuçá
1060,Vila Zelina,Vila Prudente
1061,Vila Romana,Lapa
1062,Jardim Ana Maria,Brasilândia
1065,Sítio do Mandaqui,Casa Verde
1066,Jardim São Gabriel,Jardim Ângela
1067,Vila Arcádia,Freguesia do Ó
1068,Vila Benevente,Santana
1069,Jardim Hercília,Vila Matilde
1070,Parque Itaberaba,Freguesia do Ó
1071,Cantinho do Céu,Grajaú
1072,Jardim Tremembé,Tremembé
1073,Vila França,Campo Limpo
1074,Itaim,Itaim Bibi
1075,Parque Guedes,Ermelino Matarazzo
1076,Jardim Aurélia,Vila Mariana
1077,Parque Paulistinha,Cidade Dutra
1078,Água Fria,Santana
1079,Vila Santo Estéfano,Cursino
1080,Vila Conceição,Vila Curuçá
1081,Parque Continental,Jaguara
1082,Vila Alba,Rio Pequeno
1083,Jardim Aurélio,Capão Redondo
1084,Vila Raquel,São Mateus
1086,Jardim Laura,Itaim Paulista
1087,Jardim Esther,Rio Pequeno
1088,Jardim das Palmeiras,Parelheiros
1089,Tatuapé,Belém
1090,Vila Leopoldina,Água Rasa
1092,Prestes Maia,Cidade Tiradentes
1093,Jardim Nagib Salem,Jardim São Luís
1094,Jardim Leonor,Vila Sônia
1096,Chácara Vista Alegre,Jardim São Luís
1097,Vila Silva Teles,Itaim Paulista
1098,Chácara Santana,Jardim São Luís
1099,Jardim Pereira Leite,Limão
1100,Vila Augusto,Lapa
1101,Jardim Labitary,Grajaú
1102,Vila Facchini,Jabaquara
1104,Jardim Vivan,Jaraguá
1105,Brooklin Novo,Campo Belo
1106,Vila Renato,Jardim Ângela
1108,Casa Verde Alta,Casa Verde
1109,Parque Guaianases,Lajeado
1110,Jardim Patente,Sacomã
1111,Jardim dos Eucaliptos,Marsilac
1112,Jardim Luciana,Jardim Paulista
1113,Conjunto Promorar,Sapopemba
1114,Vila Marina,Freguesia do Ó
1115,Jardim Lúcia,Raposo Tavares
1116,Vila Nova Savoia,Vila Matilde
1117,Jardim Boa Esperança,Capão Redondo
1118,Jardim Anhanguera,Campo Grande
1120,Vila Dorna,Tremembé
1121,Sítio Canela Branca,Marsilac
1122,Granja Nossa Senhora Aparecida,Cidade Dutra
1123,Parque Anhembi,Santana
1124,Jardim Itaóca,Capão Redondo
1125,Vila Aimoré,Jardim Helena
1126,Vila Santa Lucrécia,Jaraguá
1127,Vila Ponte Rasa,Ponte Rasa
1128,Vila Bandeirantes,Casa Verde
1129,Jardim Adelaide,Itaquera
1130,Parque da Mooca,Mooca
1131,Jardim Floresta,Cidade Dutra
1132,Conjunto Habitacional Padre Manoel de Paiva,Artur Alvim
1133,Vila Sílvia,Cangaíba
1134,Vila Duarte,Pirituba
1135,Vila Virginia,Jardim Ângela
1136,Jardim Santa Cruz,Sacomã
1140,Itaberaba,Freguesia do Ó
1141,Jardim Arize,Cidade Líder
1142,Vila Maria Luísa,Limão
1143,Furnas,Tremembé
1144,Vila Argentina,Lapa
1145,Conjunto Habitacional Fazenda do Carmo,José Bonifácio
1146,Jurubatuba,Campo Grande
1147,Jardim Heliomar,Santo Amaro
1148,Vila Bozzini,Itaquera
1149,Vila Araguaia,Cangaíba
1150,Vila Castelo,Cidade Ademar
1151,Sítio Pinheirinho,São Lucas
1152,Jardim Olympia,Vila Sônia
1153,Jardim Maria Estela,Sacomã
1154,Jardim Everest,Morumbi
1155,Cidade Leonor,Jabaquara
1156,Jardim Arizona,Cangaíba
1157,Jardim Alviverde,Parelheiros
1158,Jardim Fernandes,Cidade Líder
1159,Jardim Samas,Grajaú
1160,Jardim Ana Lúcia,Cidade Dutra
1161,Favela Vila Nova Jaguaré,Jaguaré
1162,Jardim da Conquista,Perus
1163,Umarizal,Campo Limpo
1164,Jardim Nastari,Pedreira
1165,Residencial Morumbi,Campo Limpo
1166,Jardim João XXIII,Raposo Tavares
1167,Vila Nascente,Grajaú
1168,Jardim Pirajussara,Campo Limpo
1169,Jardim Brasil,Vila Medeiros
1172,Jardim das Esmeraldas,Raposo Tavares
1173,Parque Imperial,Saúde
1174,Conjunto Residencial Morumbi,Vila Sônia
1175,Vila Maria Zélia,Belém
1176,Vila Maluf,Penha
1177,Jardim Célia,Jardim Helena
1178,Jardim São João,Jaraguá
1185,Pacaembú,Consolação
1186,Jardim Três Corações,Grajaú
1187,Balneário São Francisco,Pedreira
1188,Maranhão,Tatuapé
1189,Ermelino Matarazzo,Ermelino Matarazzo
1190,Carrãozinho,São Rafael
1192,Vila Paulistania,Cangaíba
1193,Vila Lisboa,Socorro
1194,Casa Verde Baixa,Casa Verde
1195,Vila Jataí,Alto de Pinheiros
1196,Conjunto Habitacional Instituto Adventista,Capão Redondo
1197,Jardim Hebrom,Tremembé
1198,Jardim Paulistano,Pinheiros
1199,Jardim Guaraú,Raposo Tavares
1200,Parque Léo,Casa Verde
1201,Jardim Pedreira,Pedreira
1202,Vila Rancho Alegre,Perus
1203,Andaraí,Vila Maria
1204,Jardim Bronzato,Jardim São Luís
1205,Jardim Ricardo,Iguatemi
1206,Jardim Maracá,Capão Redondo
1207,Vila Nova Utinga,São Lucas
1208,Alto da Lapa,Lapa
1209,Jardim Império,Cidade Dutra
1210,Vila Agueda,Campo Grande
1211,Jardim das Praias,Cidade Dutra
1212,Jardim Vilas Boas,Cidade Ademar
1213,Parque Santa Amélia,Itaim Paulista
1214,Jardim Marcel,Cidade Dutra
1215,Parque da Lapa,Vila Leopoldina
1216,Vila Andes,Lajeado
1217,Jardim Novo Santo Amaro,Jardim São Luís
1218,Vila Nossa Senhora do Retiro,Pirituba
1219,Jardim Buriti,São Rafael
1220,Jardim Piauí,Jaguara
1221,Vila Pita,Cachoeirinha
1222,Vila Nova Paulicéia,São Lucas
1223,Vila Moreira,Tatuapé
1224,Jardim do Carmo,Campo Grande
1225,Parque Paiolzinho,Jardim São Luís
1226,Jardim Nadir,Campo Limpo
1227,Cidade Mãe do Céu,Tatuapé
1228,Residencial Sol Nascente 4,Anhanguera
1229,Jardim Shangrilá,Grajaú
1231,Jardim Jaçanã,Tremembé
1232,Vila Odete,Ponte Rasa
1233,Jardim Marilda,Grajaú
1234,Real Parque,Morumbi
1235,Vila Marte,Sacomã
1236,Vila Vitória,Jardim Helena
1237,Jardim Ormendina,Mandaqui
1238,Jardim São Jorge,Cidade Ademar
1240,Conjunto Habitacional Jardim São Bento,Capão Redondo
1241,Campos da Escolástica,Perdizes
1242,Jardim Melo,Cidade Ademar
1243,Jardim Helena,José Bonifácio
1244,Barra Funda,Barra Funda
1245,Vila Anchieta,Sacomã
1246,Parque Velloso,Vila Guilherme
1247,Carrão,Carrão
1248,Jardim Capelinha,Jardim São Luís
1249,Jardim Cidade Pirituba,Pirituba
1250,Conjunto Habitacional Padre Manoel da Nóbrega,Artur Alvim
1251,Jardim Campo de Fora,Capão Redondo
1252,Jardim Gondolo,Cangaíba
1253,Jardim Dom José,Capão Redondo
1255,Parque São José,Grajaú
1256,Jardim Caboré,Vila Sônia
1257,Parque Lituânia,Vila Prudente
1258,Sítio Morro Grande,Freguesia do Ó
1259,Riviera Paulista,Jardim São Luís
1260,Vila dos Remédios,Jaguara
1261,Vila Cristália,Sacomã
1262,Vila Norma,Vila Jacuí
1264,Vila Lúcia,Vila Prudente
1265,Jardim Rosalina,Cidade Dutra
1266,Santo Amaro,Santo Amaro
1267,Jardim Emília,Mandaqui
1268,Jardim Silveira,Água Rasa
1269,Jardim Kioto,Cidade Dutra
1270,Vila Santa Rita,Cidade Líder
1272,Jardim São Silvestre,Freguesia do Ó
1273,Jardim Camargo Novo,Itaim Paulista
1274,Chácara da Penha,Penha
1275,Jardim Matarazzo,Ermelino Matarazzo
1277,Vila Erna,Cidade Ademar
1278,Vila Santa Virginia,São Lucas
1279,Jardim Moreno,Lajeado
1280,Jardim Lourdes,Jabaquara
1281,Jardim Otília,Cangaíba
1282,Jardim Cardoso,Artur Alvim
1283,Jardim Represa,Cidade Dutra
1284,Ponte Grande,Bom Retiro
1285,Jardim Costa Pereira,Jabaquara
1286,Vila ABC,Guaianases
1287,Jardim Alva,Campo Grande
1288,Perus,Perus
1289,Parque Sônia,Capão Redondo
1291,Vila Sampaio,Ponte Rasa
1292,Valo Velho,Capão Redondo
1293,Jardim Apuana,Tremembé
1294,Jardim Dom Bosco,Santo Amaro
1295,Praia Azul,Jardim São Luís
1296,Vila Graciosa,Água Rasa
1297,Vila Aparecida Ivone,Jaguara
1298,Jardim Rincão,Jaraguá
1299,Chácara 6 de Outubro,Vila Matilde
1300,Cidade A.E. Carvalho,Artur Alvim
1301,Residencial Sol Nascente 1,Anhanguera
1302,Conjunto dos Bancários,Mandaqui
1303,Vila Nossa Senhora da Conceição,Jaraguá
1304,Chácara Pirajussara,Campo Limpo
1305,Parque das Paineiras,Artur Alvim
1306,Guacuri,Pedreira
1307,Parque das Flores,São Rafael
1308,Cipó do Meio,Grajaú
1309,Campo Limpo,Tremembé
1310,Parque Florestal,Parelheiros
1311,Jardim Ivone,Sapopemba
1312,Vila Bela,Vila Prudente
1313,Jardim Sabará,Campo Grande
1314,Vila Carolina,Itaim Paulista
1317,Jardim Ida Guedes,Itaim Paulista
1318,Jardim das Imbuias,Cidade Dutra
1319,Parque Regina,Campo Limpo
1320,Vila Santa Delfina,Freguesia do Ó
1321,Vila do Castelo,Campo Grande
1322,Jabaquara,Jabaquara
1323,Jardim Nice,Aricanduva
1324,Vila Curuçá,Vila Curuçá
1325,Jardim Mirna,Grajaú
1326,Vila Campestre,Jabaquara
1327,Jardim Christe,Butantã
1328,Vila Beatriz,Penha
1330,Parque Santana,Cidade Dutra
1331,Vila Nilo,Jaçanã
1332,Parque Cocaia,Grajaú
1333,Vila Elvira,Santo Amaro
1334,Vila Português,Freguesia do Ó
1335,Vila Mira,Jabaquara
1336,Jardim Sousa,Jardim São Luís
1337,Vila Nova Itaquera de Baixo,São Miguel Paulista
1338,Jardim Dinorah,Rio Pequeno
1339,Jardim Clei,Anhanguera
1340,Jardim Lar São Paulo,Vila Sônia
1341,Vila Nilva,Jaguara
1342,Vila Antônio,Rio Pequeno
1343,Jardim Fontalis,Tremembé
1344,Jardim Aparecida,Pedreira
1345,Recanto Paraíso,Perus
1346,Vila Elze,Jardim Ângela
1347,Vila do Encontro,Jabaquara
1348,Jardim Pérola II,Cidade Tiradentes
1349,Jardim Cliper,Cidade Dutra
1350,Vila Doutor Eiras,São Mateus
1352,Vila Alexandria,Campo Belo
1353,Vila Gil,José Bonifácio
1354,Jardim Colorado,São Rafael
1355,Jardim Marilu,Iguatemi
1356,Jardim Antártica,Cachoeirinha
1357,Vila Esmeralda,Tremembé
1358,Parque Vila Prudente,Vila Prudente
1359,Conjunto Habitacional José de Anchieta,Artur Alvim
1360,Parque Santo Antônio,Vila Formosa
1361,Parque Residencial Cocaia,Grajaú
1362,Jardim Quisisana,Vila Curuçá
1363,Parque Mandaqui,Mandaqui
1364,Jardim Itápolis,São Mateus
1365,Vila Império,Cidade Ademar
1366,Jardim Maria Amália,Parelheiros
1367,Vila Nova Granada,Penha
1368,Chácara Belenzinho,Vila Formosa
1369,Parque Paulistano,Jardim Helena
1370,Vila Nova Conceição,Moema
1371,Jardim Itacolomi,Jabaquara
1372,Vila Sol,Rio Pequeno
1373,Vila Sulina,Anhanguera
1374,Jardim Adhemar de Barros,Butantã
1375,Vila Bonilha Nova,Pirituba
1376,Jardim das Laranjeiras,Casa Verde
1377,Parque América,Grajaú
1378,Sítio Itaberaba I,Cidade Dutra
1379,Vila Palma,Iguatemi
1380,Vila Siqueira,Freguesia do Ó
1383,Cidade São Miguel,São Mateus
1385,Vila Roseira,Guaianases
1386,Vila Morumbi,Morumbi
1387,Parque Independência,Capão Redondo
1388,Cidade Monções,Itaim Bibi
1389,Jardim Novo Horizonte,Grajaú
1390,Jardim Paraguaçu,São Mateus
1391,Vila Carioca,Campo Limpo
1393,Jardim do Norte,Penha
1394,Perdizes,Perdizes
1395,Jardim Humaitá,Vila Leopoldina
1396,Jardim dos Estados,Santo Amaro
1397,Jardim Bartira,Vila Curuçá
1398,Vila Sofia,Campo Grande
1399,Jardim São Paulo Novo,Guaianases
1400,José Bonifácio,José Bonifácio
1401,Jardim Salinas,Grajaú
1402,República,República
1403,Parque Rio Pequeno,Rio Pequeno
1404,Jardim Rosemary,Vila Sônia
1405,Mercado,Brás
1406,Jardim Santa Inês,Mandaqui
1407,Fazenda Aricanduva,Cidade Líder
1408,Vila Nova Iorque,Vila Formosa
1409,Vila Palmeirinha,Vila Matilde
1410,Jardim Conquista,Iguatemi
1411,Vila Isolina,Vila Guilherme
1412,Fazenda Morumbi,Morumbi
1413,Jardim Laranjeiras,Parelheiros
1415,Jardim Neide,Jardim São Luís
1416,São Judas,Saúde
1417,Parque Tomas Saraiva,São Lucas
1418,Parque Santa Cecília,Cidade Dutra
1419,Jardim Jussara,Vila Sônia
1420,Jardim Sydney,Pirituba
1421,Vila Brasília,Grajaú
1422,Jardim Santa Maria,Vila Jacuí
1424,Jardim São Gonçalo,Iguatemi
1425,Jardim Santa Terezinha,Parelheiros
1428,Peninha,Jardim São Luís
1429,Jardim Amaralina,Raposo Tavares
1430,Jardim Diomar,Campo Grande
1431,Vila Missionária,Pedreira
1432,Jardim Monjolo,Freguesia do Ó
1433,Vila São José,Itaim Paulista
1438,Jardim Orly,Cidade Ademar
1439,Jardim Novo Parelheiros,Parelheiros
1440,Jardim VazaniL’Habitare,Vila Sônia
1441,Vila Suzana,Vila Andrade
1443,Jardim Pérola III,Cidade Tiradentes
1444,Vila Penteado,Brasilândia
1446,Vila Dom Pedro II,Tucuruvi
1447,Jardim Iguatemi,Iguatemi
1448,Vila Barra Funda,Barra Funda
1449,Pirajussara,Campo Limpo
1450,Jardim Caju,Ponte Rasa
1451,Jardim Nove de Julho,São Mateus
1452,Pinheiros,Pinheiros
1453,Mooca,Mooca
1454,Vila Marilena,Guaianases
1455,Marco de Meia Légua,Brás
1456,Vila São Luís,Rio Pequeno
1457,Jardim Capão Redondo,Capão Redondo
1458,Parada Quinze,Itaquera
1459,Colônia,Grajaú
1461,Vila Paiva,Vila Guilherme
1462,Chácara Itaim,Itaim Bibi
1463,Vila Minozi Imirim,Casa Verde
1464,Parque do Otero,Jardim São Luís
1465,Indianópolis,Moema
1466,Chácara Meyer,Cidade Dutra
1467,Jardim Fanganiello,Lajeado
1468,Jardim Adalgisa,Rio Pequeno
1469,Vila Michelina,Jardim São Luís
1470,Jardim Lídia,Capão Redondo
1471,Jardim Neila,Vila Medeiros
1472,Jardim Maninos,Mandaqui
1473,Jardim Dionísio,Sacomã
1474,Vila Alpina,Vila Prudente
1475,Parque Residencial Bandeirante,Capão Redondo
1476,Jardim Francisco,Jardim São Luís
1477,Vila Santa Maria,Capão Redondo
1479,Jardim Três Marias,Ponte Rasa
1481,Vila Dom Duarte Leopoldo,Cangaíba
1482,Vila Morse,Vila Sônia
1483,Chácara Paraíso,Água Rasa
1484,Cidade Satelite,Parelheiros
1485,Jardim Amália,Capão Redondo
1486,Vila Santo Antônio,Penha
1488,Luz,Santa Cecília
1490,Vila Santa Edwiges,Jaguara
1491,Jardim Anália Franco,Vila Formosa
1492,City Butantã,Butantã
1493,Vila Almeida,Campo Grande
1494,Jardim Marajoara,Campo Grande
1495,São Domingos,São Domingos
1496,Vila Vitório Mazzei,Mandaqui
1497,Jardim América da Penha,Penha
1498,Loteamento Vitória Régia,Perus
1499,Jardim Ramos de Freitas,Tremembé
1500,Vila Cruzeiro,Aricanduva
1502,Vila Rica,Cidade Ademar
1507,Jardim Jamaica,Campo Limpo
1508,Vila Arruda,Cangaíba
1509,Jardim Miriam,Itaim Paulista
1511,Cangaíba,Cangaíba
1512,Jardim Cláudia,Raposo Tavares
1513,Jardim Zaira,Cidade Ademar
1514,Jardim São Miguel,São Mateus
1516,Jardim Piquerobi,Vila Formosa
1517,Cidade Continental,São Lucas
1518,Lauzane Paulista,Mandaqui
1519,Jardim Noemia,Jardim Helena
1520,Jardim Eledy,Capão Redondo
1521,Parque Colonial,São Mateus
1522,Vila Barreira Grande,Jardim Ângela
1523,Vila Nova Cachoeirinha,Cachoeirinha
1524,Vila Marisbela,Limão
1525,Jardim Santa Adélia,São Mateus
1526,Jardim Russo,Perus
1527,Chácara Santo Amaro,Grajaú
1528,Vila Ramos,Rio Pequeno
1529,Chácara Jaraguá,Anhanguera
1530,Vila Chalot,Barra Funda
1531,Cidade Kemel,Itaim Paulista
1532,Bandeirantes,Sacomã
1533,Alto da Boa Vista,Santo Amaro
1534,Jardim Pérola,Cidade Tiradentes
1535,Morada do Sol,Anhanguera
1536,Vila Mauad,Cangaíba
1537,Jardim Elza,Itaim Paulista
1538,Vila Albertina,Tremembé
1539,Vila Paulistana,Tremembé
1541,Mirandópolis,Saúde
1542,Vila Santa Tereza,Sacomã
1543,Jardim Satélite,Cidade Dutra
1544,Bela Aliança,Lapa
1545,Jardim Indaiá,Itaim Paulista
1546,Vila Dionisia,Cachoeirinha
1547,Jardim Tupã,Socorro
1548,Jardim Vitória Régia,Vila Andrade
1549,Vila Aurora,Jaraguá
1552,Jardim Martinica,Campo Limpo
1553,Parque Novo Mundo,Vila Maria
1554,Jardim Marilena,Guaianases
1555,Jardim dos Pinheiros,Pirituba
1556,Vila Inah,Vila Sônia
1557,Vila Célia,Casa Verde
1558,Parque Pereira,São Lucas
1559,Jardim Nova Germânia,Capão Redondo
1560,Jardim Marpu,Guaianases
1561,Jardim Piratininga,Cangaíba
1562,Jardim Colombo,Vila Sônia
1563,Jardim Lallo,Cidade Dutra
1564,Vila Alteza,Campo Limpo
1565,Vila Escudeiro,Sacomã
1566,Jardim Santo Onofre,Ponte Rasa
1567,Vila Madalena,Pinheiros
1568,Conjunto Butantã,Jaguaré
1569,Cidade Ademar,Cidade Ademar
1570,Várzea da Barra Funda,Santa Cecília
1572,Parque Taipas,Jaraguá
1573,Jardim Arantes,Iguatemi
1574,Jardim Mimar,Sapopemba
1575,Vila Ana Rosa,Jaraguá
1576,Jardim Nélia,Itaim Paulista
1577,Vila Oratório,Água Rasa
1578,Jardim Ataliba Leonel,Tremembé
1579,Barra,Cidade Tiradentes
1580,Vila Medeiros,Vila Medeiros
1581,Jardim Harmonia,Cidade Ademar
1582,Vila Formosa,Vila Formosa
1583,São João Clímaco,Sacomã
1584,Vila Brasilina,Cursino
1586,Vila Romero,Mandaqui
1587,Dom Pedro I,Ipiranga
1588,Jardim Donária,Jaraguá
1589,Paineiras do Morumbi,Morumbi
1590,Jardim Tuã,Itaim Paulista
1591,Vila Santos,Mandaqui
1592,Parque Paineiras,Artur Alvim
1593,Vila Sônia,Vila Sônia
1594,Jardim São Bernardo,Grajaú
1595,Jardim Clímax,Sacomã
1596,Jardim Catanduva,Campo Limpo
1597,Jardim Jaú,Grajaú
1599,Vila Cruz das Almas,Freguesia do Ó
1600,Jardim Leila,Vila Sônia
1601,Vila Paulicéia,Santana
1602,Vila Cardoso Franco,Jardim Ângela
1603,Jaraguá,Jaraguá
1604,Vila Zélia,Santana
1605,Jardim Flórida Paulista,Jardim São Luís
1606,Jardim Aeroporto,Campo Belo
1607,Cidade Tiradentes,Cidade Tiradentes
1608,Jardim São Nicolau,Ponte Rasa
1609,Jardim Frugol,Ponte Rasa
1610,Núcleo Residencial Morro do Sabão,São Rafael
1611,Jardim Paris,Campo Limpo
1612,Vila Diva,Água Rasa
1614,Engenheiro Goulart,Cangaíba
1615,Jardim Vieira de Carvalho,Mandaqui
1616,Jardim Líder,Jaraguá
1617,Campos Elíseos,Santa Cecília
1618,Jardim Arpoador,Raposo Tavares
1619,Jardim Panorama,São Lucas
1621,Jardim Cachoeira,Freguesia do Ó
1622,Jardim Maria Augusta,Raposo Tavares
1623,São Luís,Jardim São Luís
1624,Jardim Sarah,Rio Pequeno
1625,Vila Cláudia,Mooca
1626,Jardim Rizzo,Butantã
1627,Vila Clarice,Pirituba
1628,Sítio da Figueira,Vila Prudente
1629,Vila Mariana,Vila Mariana
1630,Jardim Maria Nazaré,Tremembé
1631,Vila Madeiral,Rio Pequeno
1632,Cidade Nitro Química,Jardim Helena
1633,Jardim Nosso Lar,Cidade Ademar
1634,Jardim Jua,Campo Grande
1635,Capão Redondo,Capão Redondo
1636,Jardim Ipanema,Jaraguá
1641,Jardim Europa,Pinheiros
1642,Vila Haddad,Vila Prudente
1644,Jardim Macedônia,Capão Redondo
1645,Vila Olho D’Água,São Miguel Paulista
1646,Sítio Boa Vista,Alto de Pinheiros
1647,Vila Sinhá,São Mateus
1649,Jardim Helga,Campo Limpo
1650,Jardim Guiomar,Sapopemba
1651,Jardim Prudência,Cidade Ademar
1652,Jardim Alexandrina,Sapopemba
1653,Vila Libanesa,Cangaíba
1655,Parque Ipê,Raposo Tavares
1656,Centro,Sé
1657,Jardim Sabiá II,Grajaú
1658,Horto do Ipê,Campo Limpo
1659,Jardim São Remo,Grajaú
1660,Vila Margareth,Itaim Paulista
1661,Iguatemi,Iguatemi
1662,Vila Domitilia,Ponte Rasa
1663,Jardim Monte Verde,Cidade Tiradentes
1664,Jardim Paulo VI,Raposo Tavares
1665,Parque Panamericano,Jaraguá
1666,Vila Monte Santo,Vila Jacuí
1667,Jardim Mutinga,São Domingos
1668,Vila Malvina,Perus
1669,Jardim Lucinda,São Mateus
1671,Vila Cardoso,Freguesia do Ó
1672,Jardim dos Francos,Brasilândia
1673,Jardim Machado,Aricanduva
1674,Jardim dos Prados,Campo Grande
1675,Rolinópolis,Butantã
1677,Glicério,Liberdade
1678,Jardim Roseli,Iguatemi
1679,Vila Varanda,Jaguara
1680,Jardim Maria Luiza,Cidade Ademar
1683,Vila Chica Luisa,Anhanguera
1684,Jardim Triana,Vila Matilde
1685,Jardim Keralux,Ermelino Matarazzo
1686,Jardim Lucélia,Grajaú
1687,Vila Chavantes,São Mateus
1688,Vila Ford,Vila Sônia
1689,Vila Ipojuca,Lapa
1690,Urbanizadora,Perdizes
1691,Vila Carbone,Limão
1692,Vila Roque,Cachoeirinha
1693,Vila Hermínia,Freguesia do Ó
1694,Vila Esperança,Parelheiros
1696,Parque Peruche,Casa Verde
1697,Vila Mercedes,São Lucas
1698,Vila Costa Melo,Ponte Rasa
1699,Limoeiro,Itaquera
1700,Vila Buenos Aires,Cangaíba
1702,Belenzinho,Belém
1703,Vila Anália,Campo Limpo
1704,Jardim Iara,Vila Formosa
1705,Vila São Vicente,Freguesia do Ó
1708,Jardim da Divisa,Vila Formosa
1709,Parque Palmas do Tremembé,Tremembé
1710,Chácara Lagoinha,Grajaú
1711,Vila Lusitana,Tatuapé
1712,Jardim Alto Alegre,São Rafael
1714,Vila Santa Isabel,Carrão
1715,Vila Gustavo,Tucuruvi
1716,Parque do Morumbi,Vila Andrade
1717,Chácara São Luís,Santo Amaro
1718,Jardim Camargo Velho,Itaim Paulista
1719,Jardim Santo André,São Rafael
1720,Conjunto Habitacional Barro Branco II,Cidade Tiradentes
1721,Recanto Santo Antônio,Jardim São Luís
1722,Vila Nova Mazzei,Tremembé
1724,Vila Bancária,Jardim Ângela
1725,Vila Nova York,Aricanduva
1726,Vila Regina,Itaquera
1728,Bortolândia,Tremembé
1729,Jardim Olímpia,Vila Sônia
1731,Jardim luzitânia,Moema
1732,Sítio Areião,Perus
1733,Jardim Felicidade,Pirituba
1734,Jardim Bom Refúgio,Campo Limpo
1735,Jardim Santa Tereza,Grajaú
