,Bairro,Distrito
316,Vila Germaine,Penha
317,Vila Alois,Vila Prudente
318,Vila Vanda: Jardim São Bento,Casa Verde
319,Parque Ibirapuera,Moema
320,Vila Rute,Vila Sônia
321,Vila Maria Alta,Vila Maria
322,Parque das Árvores,Cidade Dutra
323,Vila Hebe,Freguesia do Ó
324,Conjunto Lar Nacional,Sapopemba
325,São Lucas,São Lucas
326,Vila dos Andrades,Cachoeirinha
327,Vila Uberabinha,Moema
328,Jardim Líbano,Pirituba
329,Vila Clementino,Vila Mariana
330,Vila Nova Galvão,Jaçanã
331,Parada Cinquenta e Sete,Grajaú
332,Parque Amazonas,Parelheiros
333,Jardim das Fontes,Parelheiros
334,Itatinga,Pedreira
335,Sítio Caraguata,Sacomã
336,Marco,Brás
337,Jardim Guacuri,Pedreira
338,Jardim São Roberto,Jardim Ângela
339,Jardim Cabuçu,Jaçanã
340,Jardim Sônia,Cidade Ademar
341,Jardim Dalmo,Itaim Paulista
342,Vila São Nicolau,São Lucas
343,Vila Olga,Vila Sônia
344,Jardins,Pinheiros
345,Vila Fazzeoni,Capão Redondo
346,Jardim Imperador,Sacomã
348,Cohab Educandário,Raposo Tavares
349,Jardim Santo Alberto,Tremembé
350,Jardim Leni,Jardim São Luís
351,Vila Suiça,Itaquera
352,Fazenda do Carmo,José Bonifácio
353,Planalto Paulista,Saúde
354,Vila Clotilde,Água Rasa
355,Jardim Ramala,Parelheiros
356,Vila Eleonora,Jaguara
357,Clube Campestre de São Paulo,Marsilac
358,Vila Nova,Jardim Ângela
359,Jardim Alfredo,Jardim São Luís
360,Jardim Bandeirante,São Rafael
361,Hipódromo,Mooca
362,Parque Edu Chaves,Jaçanã
363,Vila Tolstoi,Jardim Ângela
364,Jardim França,Tucuruvi
365,Loteamento Santana do Agreste,Itaim Paulista
366,Vila Mangalot,São Domingos
367,Jardim Orbam,Grajaú
368,Jardim Pouso Alegre,Cidade Dutra
369,Inácio Monteiro,Cidade Tiradentes
370,Vila Marieta,Tremembé
372,Jardim Maria Sampaio,Campo Limpo
373,Jardim Campo Grande,Campo Grande
374,Conjunto Residencial Butantã,Butantã
375,Vila Santa Lúcia,Ponte Rasa
376,Jardim São Domingos,Guaianases
378,Jardim Leonardo,Jardim São Luís
379,Sítio Cocaia,Grajaú
380,Recanto Monte Alegre,Pirituba
381,Vila Caju,Ponte Rasa
382,Vila Santo Estevam Reis.,Jaraguá
383,Vila Júlio,Jardim Ângela
384,Parque do Terceiro Lago,Parelheiros
385,Vila Babi,Pedreira
386,Jardim Universidade Pinheiros,Pinheiros
387,Vila Conde do Pinhal,Sacomã
388,Jardim Vila Carrão,São Rafael
389,Vila Bertioga,Água Rasa
390,Cachoeirinha,Cachoeirinha
391,Jardim Califórnia,Rio Pequeno
393,Jardim Planalto,Grajaú
396,Jardim dos Bichinhos,Cidade Dutra
397,Vila Natália,Sacomã
398,Jardim Ibiratiba,Tremembé
399,Vila Olímpia,Itaim Bibi
400,Jardim Haddad,Água Rasa
401,Vila dos Andradas,Pedreira
402,Jardim Heloísa,Vila Curuçá
404,Jardim Alto Pedroso,São Mateus
405,Jardim Noronha,Grajaú
406,Siciliano,Lapa
407,Chácara Bosque do SulChácara da Enseada,Parelheiros
408,Jardim Ponte Rasa,Ponte Rasa
409,Jardim Eliana,Grajaú
410,Vila Yolanda,Cidade Tiradentes
411,Jardim Morro Verde,Vila Sônia
412,Vila Pompéia,Perdizes
413,Jardim Taquaral,Campo Grande
414,Jardim Mendes Gaia,Jabaquara
415,Jardim Suzana,Socorro
416,Parque Bandeirantes,Pedreira
417,Jardim Batalha,Raposo Tavares
418,Jardim Icaraí,Grajaú
419,Jardim Marina,Artur Alvim
420,Bixiga,Bela Vista
421,Jardim Novo Mundo,Moema
422,Jardim Vilma,Itaim Paulista
423,Vila Catupia,Pirituba
424,Jardim Itália,Água Rasa
425,Jardim Raposo Tavares,Raposo Tavares
426,Jardim Cruzeiro,Cidade Dutra
427,Jardim Iguaçu,Sapopemba
428,Super Quadra Morumbi,Vila Sônia
429,Alto da Mooca,Água Rasa
430,Vila Diana,Cidade Dutra
431,Vila Morais Prado,Grajaú
432,Vila Ester,São Rafael
433,Consolação,Consolação
434,Jardim Novo Jaú,Grajaú
435,Vila Rosina,Capão Redondo
436,Profeta Geremias,Cidade Tiradentes
437,Jardim São Sebastião,São Mateus
439,Casa Verde,Casa Verde
440,Jardim Anchieta,Jabaquara
441,Barro Branco,Cidade Tiradentes
443,Vila Nova União,Vila Jacuí
444,Copacabana,Jardim São Luís
445,Jardim Martins Silva,Tremembé
446,Vila Lório,Freguesia do Ó
447,Jardim Morumbi,Morumbi
448,Vila Talarico,Vila Matilde
449,Jardim Arco-íris,Grajaú
450,Parque Atlântico,Cidade Dutra
451,Vila Piauí,Perdizes
453,Jardim Campo Limpo,Campo Limpo
455,Jardim Domitila,Pedreira
456,Vila Lúcia Elvira,Água Rasa
457,Vila Patrimonial,Cidade Ademar
458,Jardim Toca,Cidade Dutra
459,Vila Nova Teresa,Ermelino Matarazzo
460,Jardim Nelson,Jaçanã
461,Vila Jussara,Itaquera
462,Jardim Escócia,Anhanguera
463,Fazenda Itaim,Itaim Paulista
464,Vila Vessoni,São Mateus
466,Vila Campanela,Itaquera
468,Cohab Raposo Tavares,Raposo Tavares
469,Jardim Ymay,Jardim São Luís
470,Conjunto Residencial José Bonifácio,José Bonifácio
471,Jardim Peri Peri,Vila Sônia
473,Jardim Mabel,Itaim Paulista
474,Jardim das Rosas,Capão Redondo
478,Jardim Nova Carrão,Aricanduva
479,Jardim Lago,Raposo Tavares
480,Jardim Petrópolis,Santo Amaro
481,Vila Firmiano Pinto,Ipiranga
482,Jardim Botucatu,Sacomã
483,Parque Bela Vista,Artur Alvim
484,Jardim América,Jardim Paulista
485,Jardim Amélia,Cidade Dutra
486,Penha,Penha
487,Instituto de Previdência,Butantã
488,Jardim Adelfiore,Perus
489,Recanto Anastácio,Pirituba
490,Jardim Rubilene,Pedreira
491,Vila Franci,Cangaíba
492,Jardim Santo Elias,São Domingos
493,Jardim Aurora,Itaquera
495,Vila Rufino,Cangaíba
496,Jardim Bom Pastor,Capão Redondo
497,Jardim Casablanca,Jardim São Luís
498,Jardim Belém,Ermelino Matarazzo
499,Chácara do Piqueri,Tatuapé
500,Jardim Robru,Vila Curuçá
501,Vila Darli,São Lucas
502,Jardim dos Álamos,Parelheiros
503,Cursino,Cursino
504,Jardim Cotiana,Sapopemba
505,Jardim Galli,Aricanduva
506,Jardim Sílvia,Itaim Paulista
507,Vila Moraes,Cursino
508,Jardim São Judas Tadeu,Grajaú
509,Vila Constância,Vila Medeiros
511,Jardim Grauna,Cidade Dutra
512,Vila Prudente,Vila Prudente
513,Cidade Centenário,São Mateus
514,Parque Cruzeiro do Sul,Aricanduva
515,Jardim Edda,Grajaú
516,Jardim Iva,Sapopemba
518,Vila Morro Alto,Limão
519,Bariri,Vila Guilherme
520,Eldorado,Pedreira
521,Morro da Pólvora,Cambuci
522,Jardim Rosina,Vila Curuçá
523,Vila Maria Baixa,Vila Maria
524,Balneário São José,Parelheiros
525,Vila Antonieta,Aricanduva
526,Parque do Engenho,Capão Redondo
527,Vila Celeste,Água Rasa
528,Jardim Fim de Semana,Jardim São Luís
529,Parque Fongaro,Sacomã
530,Vila Fátima,Jardim Ângela
531,Jardim das Vertentes,Vila Sônia
532,Jardim Vera Cruz,Parelheiros
535,Jardim Brasília,Jaraguá
537,Vila Paulista,Jabaquara
539,Jardim Luso,Cidade Ademar
540,Chácara Santo Antônio,Carrão
542,Cidade Jardim,Morumbi
543,Parque Deizy,Grajaú
544,Jardim Aurea,Guaianases
545,Vila Sara,Aricanduva
546,Chácara Figueira Grande,Jardim São Luís
547,Jardim Nazareth,Vila Curuçá
548,Jardim Castro Alves,Grajaú
549,Vila Pedroso,São Mateus
551,Jardim Sabiá,Grajaú
553,Jardim Mazza,Jardim São Luís
554,Vila Nivi,Tucuruvi
555,Jardim Farah,Rio Pequeno
556,Jardim Centenário,Rio Pequeno
557,Carandiru,Vila Guilherme
558,Vila Leonor,Vila Guilherme
559,Guapira,Jaçanã
560,Vila Caxambu,Itaquera
561,Jardim Virginia,Mandaqui
562,Vila Sartório,Cangaíba
563,Jardim Ícara,Cidade Dutra
564,Chácara Cruzeiro do Sul,Cangaíba
565,Vila Congonhas,Campo Belo
566,Jardim dona Sinhá,Sapopemba
567,Parque Grajaú,Grajaú
568,Vila Praia,Vila Sônia
569,Jardim Umuarama,Campo Limpo
571,Vila Ana Cláudia,Parque do Carmo
572,Jardim das Bandeiras,Pinheiros
573,Vila Joaniza,Cidade Ademar
574,Londrina,Ponte Rasa
575,Vila Santa Catarina,Cidade Ademar
578,Jardim Iporanga,Cidade Dutra
579,Jardim dos Pereiras,Cidade Tiradentes
580,Parque Arariba,Campo Limpo
581,Jardim Cristina,Tremembé
582,Jardim Guapira,Tremembé
583,Tucuruvi,Tucuruvi
584,Vila Arapuã,Sacomã
585,Parque Shangrilá,Grajaú
586,Vila Água Funda,Cursino
587,Vila Vergueiro,Sacomã
588,Jardim Paulista,Jardim Paulista
589,Vila América,Campo Limpo
590,Jardim Sandra Maria,Tremembé
591,Jardim Leonor Mendes de Barros,Tucuruvi
592,Jardim Celeste,Sacomã
594,Sítio Botuquara,Perus
595,Jardim Fonte São Miguel,Ponte Rasa
596,Jardim Virginia Bianca,Tremembé
597,Vila Nancy,Lajeado
598,Jardim São Francisco,São Rafael
600,Jardim Tomas,Jardim São Luís
601,Vila Isolina Mazzei,Vila Guilherme
602,Jardim dos Lagos,Socorro
603,Vila Eutália,Vila Matilde
604,Vila Zilda,Tremembé
606,Jardim Itajaí,Grajaú
607,Vila São Paulo,Cidade Ademar
608,Parque Novo Grajaú,Grajaú
609,Pedra Branca,Mandaqui
610,Praia da Lagoa,Jardim São Luís
611,Cohab Monet,Capão Redondo
612,Jardim Aida,Limão
613,Vila Campo Grande,Campo Grande
